Variation points, Variation point, Configurations, Defective configs., Real prob. defect. configs., Simulations, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs., Combinations, Variant combination, NofFeatures, Configs. combi., Ratio, Defect. configs. combi., Prob. defect. configs. combi., Simulations, Runs, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs.
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'ClusteredSession', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'Libsass']", 3, 558, 0.0213, 182, 0.3262, 6, 30, 2.0, 1.8, 1.0954, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'ClusteredSession']", 3, 558, 0.0213, 184, 0.3297, 6, 30, 2.0, 1.8, 0.9613, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'InternationalizationSupport']", 3, 558, 0.0213, 185, 0.3315, 6, 30, 1.5, 1.7, 1.3684, 0.25
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'Docker']", 3, 558, 0.0213, 265, 0.4749, 6, 30, 3.0, 3.1, 1.0939, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'Libsass', 'ClusteredSession']", 3, 558, 0.0213, 186, 0.3333, 6, 30, 2.0, 2.1333, 1.0417, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'Libsass', 'InternationalizationSupport']", 3, 558, 0.0213, 185, 0.3315, 6, 30, 2.0, 2.1667, 1.4641, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'Libsass', 'Docker']", 3, 558, 0.0213, 260, 0.4659, 6, 30, 3.0, 2.6333, 1.2994, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'ClusteredSession', 'InternationalizationSupport']", 3, 558, 0.0213, 180, 0.3226, 6, 30, 2.0, 1.8667, 0.8996, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'ClusteredSession', 'Docker']", 3, 558, 0.0213, 261, 0.4677, 6, 30, 3.0, 2.8667, 1.3322, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'InternationalizationSupport', 'Docker']", 3, 894, 0.034, 421, 0.4709, 9, 30, 4.0, 3.9, 1.6474, 0.4444
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'Libsass', 'ClusteredSession']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'Libsass', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'ClusteredSession', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Libsass', 'ClusteredSession', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Libsass', 'ClusteredSession', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Libsass', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['ClusteredSession', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.5667, 0.7279, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'ClusteredSession']", 4, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.4333, 0.5683, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'InternationalizationSupport']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.5, 0.6297, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Docker']", 4, 220, 0.0084, 61, 0.2773, 3, 30, 1.0, 0.7667, 0.8584, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Libsass', 'ClusteredSession']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.4, 0.5632, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Libsass', 'InternationalizationSupport']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.4667, 0.5074, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Libsass', 'Docker']", 4, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.9667, 0.9279, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'ClusteredSession', 'InternationalizationSupport']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.4333, 0.504, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'ClusteredSession', 'Docker']", 4, 220, 0.0084, 61, 0.2773, 3, 30, 1.0, 0.7, 0.7022, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'InternationalizationSupport', 'Docker']", 4, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.8333, 0.8339, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'ClusteredSession']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'ClusteredSession', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Libsass', 'ClusteredSession', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Libsass', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'Libsass', 'ClusteredSession']", 4, 558, 0.0213, 183, 0.328, 6, 30, 2.0, 1.9333, 1.1725, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 4, 558, 0.0213, 183, 0.328, 6, 30, 2.0, 1.8, 1.0306, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'Libsass', 'Docker']", 4, 558, 0.0213, 260, 0.4659, 6, 30, 3.0, 2.8333, 1.2888, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 4, 558, 0.0213, 185, 0.3315, 6, 30, 2.0, 1.8333, 1.0199, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'ClusteredSession', 'Docker']", 4, 558, 0.0213, 266, 0.4767, 6, 30, 3.0, 3.0333, 1.0662, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'SpringWebSockets', 'InternationalizationSupport', 'Docker']", 4, 558, 0.0213, 261, 0.4677, 6, 30, 3.0, 2.8, 0.9248, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 4, 558, 0.0213, 183, 0.328, 6, 30, 2.0, 1.9, 1.3734, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'Libsass', 'ClusteredSession', 'Docker']", 4, 558, 0.0213, 267, 0.4785, 6, 30, 3.0, 3, 1.0505, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'Libsass', 'InternationalizationSupport', 'Docker']", 4, 558, 0.0213, 264, 0.4731, 6, 30, 3.0, 3.0333, 1.0662, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Database', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 558, 0.0213, 259, 0.4642, 6, 30, 3.0, 2.6333, 1.1885, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'Libsass', 'ClusteredSession', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'Libsass', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['Libsass', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass', 'ClusteredSession']", 5, 220, 0.0084, 41, 0.1864, 3, 30, 1.0, 0.7, 0.596, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 5, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.4667, 0.6814, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass', 'Docker']", 5, 220, 0.0084, 58, 0.2636, 3, 30, 1.0, 0.9667, 0.7184, 0.3333
